id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
6675301,Room Barcelona beach Forum,30894353,Montse,Sant Martí de Provençals,41.41748,2.19696,Private room,1,9,2016-07-18,0.13,1,0,0.0
30761115,Cozy Apartment with Terrace near Sagrada Familia,228209257,Eric,la Dreta de l'Eixample,41.40137,2.16943,Entire home/apt,1,76,2021-01-25,3.02,2,318,317.97
19706093,Habitación doble muy tranquila,34581085,Alicia,la Nova Esquerra de l'Eixample,41.38917,2.14371,Private room,50,5,2017-08-09,0.11,1,88,88.0
24819177,Joyful 2bed apartment in the traditional Gracia,178600021,Sara & Tom,el Camp d'en Grassot i Gràcia Nova,41.40792,2.16347,Entire home/apt,2,65,2020-12-31,1.93,6,258,258.06
40650793,Nicholas Studio,315239676,Ciora,la Sagrada Família,41.40996,2.17647,Private room,1,0,,,1,180,180.0
39742376,☀️🏖️ 2 Rooms with Views in BARCELONA+FREE WIFI,42368570,Ala,Sant Martí de Provençals,41.41383,2.19726,Private room,3,0,,,3,0,0.0
25372941,Barcelona Beach Boutique - Casilda's Blue,168172986,Casilda'S,el Poblenou,41.3983,2.20626,Entire home/apt,2,50,2020-11-05,1.53,6,197,197.32
31207879,"Habitacion doble, en piso de lujo,  centro BCN",233380898,Santiago,Sant Antoni,41.38268,2.16163,Private room,1,1,2019-10-05,0.06,1,0,0.0
1666594,HAB PRINCIPAL WIFI+A/A SANTS FIRA BCN,7922947,Kike & María,la Bordeta,41.36819,2.13496,Private room,28,6,2017-04-06,0.08,5,0,0.0
8752941,Un classico appartamento nel Gotico,45226846,Piero,el Barri Gòtic,41.38107,2.17701,Entire home/apt,35,24,2020-11-25,0.37,1,314,313.9
26915869,Habitación doble con balcón♡Barcelona,41349300,Ruben,el Fort Pienc,41.40041,2.18055,Private room,2,21,2021-01-06,0.75,3,0,0.0
26933370,3 bedrooms and balconies in the heart of the city,202654862,Flateli,la Dreta de l'Eixample,41.40084,2.16633,Entire home/apt,32,0,,,12,150,149.55
35838127,"H10 Marina Barcelona, Junior Suite",268267457,H10 Marina Barcelona,la Vila Olímpica del Poblenou,41.39379,2.19381,Private room,1,0,,,3,330,329.59
45447514,luxury apartment with balcony and 2 swimming pools,59152387,Saskia,Sant Antoni,41.37748,2.16396,Entire home/apt,30,0,,,2,263,263.1
2368976,Beautiful Flat near  Beach and Center. Sanitized,12104361,Paola,el Poblenou,41.40038,2.20131,Entire home/apt,3,217,2020-08-22,2.62,1,57,56.82
41979138,ALQUILO HABITACIÓN (PERSONA SOLA),138773625,Quique,la Prosperitat,41.44619,2.18338,Private room,90,0,,,2,365,365.0
37247252,Brand new apartment only 50 meters from the BEACH,280417102,Ran,la Barceloneta,41.37731,2.18989,Entire home/apt,32,6,2021-01-31,0.36,7,347,347.02
14417199,Bauhaus Homestay CityCenter HUTB-005147,21654263,Erich,la Dreta de l'Eixample,41.39182,2.17243,Entire home/apt,4,9,2019-12-26,0.19,1,365,365.0
21707347,Penthouse with Private Terrace near City Center,157250994,Apartment Barcino,el Putxet i el Farró,41.4078,2.1471,Entire home/apt,3,3,2020-03-01,0.14,90,234,234.67
417239,SUNNY APARTMENT WITH TERRACE IN GRACIA,2074943,Kris,la Vila de Gràcia,41.40228,2.15742,Entire home/apt,30,95,2020-01-15,1.01,1,198,198.03
25154594,Perfecto! 4 habitaciones en centro Barcelona *Bcn*,10547296,Flateli,la Nova Esquerra de l'Eixample,41.37917,2.15304,Entire home/apt,32,0,,,69,0,0.0
33391752,Paseo de Gracia  Apartment 5 1,86551441,Maria Soledad,la Vila de Gràcia,41.40122,2.16374,Entire home/apt,3,4,2019-10-25,0.19,33,0,0.0
42950586,"Bonito Atico, Tza.Jardin! Couple, Pareja, Mascotas",234884845,Jordi,el Guinardó,41.41602,2.17966,Private room,30,0,,,3,90,90.0
42028812,Twin room  next  to the Ramblas  of Barcelona,178760074,Hotel Condal,el Barri Gòtic,41.38116,2.17355,Private room,1,1,2020-08-20,0.17,4,80,79.42
13578240,"Double, clean and comfortable room!!",78350239,Celso,la Vall d'Hebron,41.42511,2.14845,Private room,1,3,2018-04-20,0.05,1,316,316.0
37073458,Central Double Room Barcelona,278854817,Jordi,el Raval,41.381,2.16577,Private room,2,0,,,1,363,363.0
3455148,Sunny room with private bathroom and balcony.,3183711,Nora,"Sant Pere, Santa Caterina i la Ribera",41.38701,2.1795,Private room,1,123,2019-11-11,1.55,1,1,1.0
43795299,Cozy apartement Ramblas-Picasso-Beach,130617746,Jon,"Sant Pere, Santa Caterina i la Ribera",41.38637,2.18179,Entire home/apt,1,1,2020-07-13,0.14,1,1,1.0
34303605,Attic with balcony by Dalí EnjoyBCN Apartments,258164953,Dali,"Sant Pere, Santa Caterina i la Ribera",41.38386,2.1796,Entire home/apt,1,4,2020-03-25,0.24,3,256,256.08
42980046,Room Red Center,342198992,Room,el Poble Sec,41.37439,2.15821,Private room,1000,0,,,2,365,365.0
42577355,Habitación de alquiler,339157586,Jhoserth,la Maternitat i Sant Ramon,41.37955,2.12761,Private room,1,0,,,1,365,365.0
